expert_slug,title,url,date,source_type,annotation
aleyda-solis,The AI Search Optimization Roadmap,https://www.youtube.com/watch?v=BjyF_4UhoOM,2025-09-09,YouTube video / presentation,Aleyda-led video focused on AI search optimization strategy and how SEOs can structure an AI search optimization process.
aleyda-solis,SEO Predictions and expectations of 20 SEO specialists for 2026,https://www.youtube.com/watch?v=yrJe9E08llc,2026,YouTube video,Aleyda-led Crawling Mondays video on SEO predictions and expectations for 2026.
gael-breton,How to Rank on ChatGPT AI SEO with Steve Toth,https://www.youtube.com/watch?v=RxwMMROFWPc,2026,YouTube video,Authority Hacker video using an expert guest to discuss ranking in ChatGPT and AI SEO.
gael-breton,8 Ways To Adapt Your SEO in 2024,https://www.youtube.com/watch?v=0D_sPcuPBRE,2024,YouTube video,Authority Hacker video on adapting SEO strategy as search and AI change.
julian-goldie,How I Rank Number 1 with Claude AI SEO in 1 Click,https://www.youtube.com/watch?v=EkRiu2GrEPg,2026,YouTube video,Julian Goldie video on Claude AI SEO automation and ranking workflows.
julian-goldie,What Is The Best Link Building Strategy For SEO,https://www.youtube.com/watch?v=Pw6iMYaAvhw,2026,YouTube video,Julian Goldie video on link building strategy and SEO growth.
matt-diggity,Matt Diggity on AI SEO and Personal Brands,https://www.youtube.com/watch?v=P1fnk_GVVNo,2026-04-25,YouTube interview,Matt Diggity video on AI SEO personal brands and how search may change as AI search becomes more prominent.
matt-diggity,12 SEO Predictions for 2025 And How to Prepare,https://www.youtube.com/watch?v=Nwraums4Mi0,2025,YouTube video,Matt Diggity video on SEO predictions and how teams should prepare for search changes.
michael-king,SEO Is Not Ready for What AI Is About to Do Mike King,https://www.youtube.com/watch?v=p0XPAM-kQUk,2026,YouTube video,Michael King video on AI search technical SEO and how AI may change SEO strategy.
michael-king,The AI Search Strategy Program iPullRank,https://www.youtube.com/watch?v=1AteU8uDZNA,2026,YouTube video,iPullRank video connected to Michael King’s AI search strategy work.
ross-simmonds,GEO vs SEO Which One Matters Now,https://www.youtube.com/watch?v=3-2Lw5qQjho,2026,YouTube video,Ross Simmonds video on GEO SEO AI visibility and modern content discovery.
ross-simmonds,Is Generative Engine Optimization and SEO all the same,https://www.youtube.com/watch?v=jFIfnc8tcSw,2026,YouTube Short,Ross Simmonds short video on whether GEO and SEO are the same.
